issue_key,summary,status,resolution,priority,project,components,labels,environment,product,team,root_cause_extracted,fix_applied_extracted,workaround_extracted,key_findings,error_signature,fix_pattern,defect_type,failure_area,quality_score,is_fixed,is_cancelled,created,resolved
BACS-42016,"HBS BACS-Migrated Sites: CB modelling page/publish showing error immediately due to ""[token]"" added in task schedule table",Fixed,Fixed,2 - High,BACS,Partner Portal: Asset Modelling,DigiOpsReview; DigitalOpsReview; HBS_L3_Support,,PSJIRA,Titan,Error due to '[token]' during CB modeling.,"Enum change was implemented, and SIT handover was completed.",,,missing; UndeclaredThrowableException; duplicate,Access-Authorization,access issue,Partner Portal: Asset Modelling | PSJIRA | Titan,1.0,True,False,2026-04-24,2026-05-20
BACS-42015,BACS| Emaar Mall PJSC Dubai Hills Mall | After successfulschema upload point roles are not showing in DF,Fixed,Fixed,2 - High,BACS,Partner Portal: Asset Modelling,META,,PSJIRA,Titan,"As discussed, this issue is resolved in DF, but not sure abt the root cause.","Issue resolved in DF, but root cause was not identified.",,,,Access-Authorization,access issue,Partner Portal: Asset Modelling | PSJIRA | Titan,0.94,True,False,2026-04-24,2026-05-04
BACS-41855,BACS Unable to Unassign Points Without Subscription,Fixed,Fixed,2 - High,BACS,Partner Portal: Asset Modelling,DigiOpsReview; DigitalOpsReview; NoFF; Onboarding_Blocker,,PSJIRA,Data Fabric UI-API,"Site-specific issue where modeling was done months back, and PDM was incorrectly assigned.","DB script removed unwanted app associations, unblocking the site.",DB script was used as a temporary fix to unblock the user.,,,UI-Frontend,configuration issue,Partner Portal: Asset Modelling | PSJIRA | Data Fabric UI-API,0.94,True,False,2026-04-22,2026-05-05
BACS-41853,Alarms :- Alarms from niagara is not getting updated at RBM with proper dates,Fixed,Fixed,None,BACS,Partner Apps: RBM Basic App,DigiOpsReview; DigitalOpsReview; May192026_GG,,PSJIRA,Spotters,Huge traffic from an EBI gateway caused alarms to not update properly.,Infra issue resolved without any code changes.,,,,UI-Frontend,unknown,Partner Apps: RBM Basic App | PSJIRA | Spotters,0.94,True,False,2026-04-22,2026-05-19
BACS-41824,User Addition to Site:- Site provisioning progress is not getting completed for users added a day back,Fixed,Fixed,None,BACS,Partner Portal: Org Site Management,CONFIGURATION; DigiOpsReview; DigitalOpsReview,,PSJIRA,Titan,Special character in the user's last name caused a sync failure with CB.,CB limitation on special characters was addressed.,"The affected users have now been manually re‑synced, and the sync has completed successfully.[user]",,,Data Sync-Integration,integration issue,Partner Portal: Org Site Management | PSJIRA | Titan,0.94,True,False,2026-04-22,2026-05-04
BACS-41810,HBS-BACS-Multiple Site: Model sync is failed with item with the same key has already been added,Fixed,Fixed,2 - High,BACS,Partner Portal: Gateway Management,DigiOpsReview; HBS_L3_Support; Onboarding_Blocker,,PSJIRA,Titan,New property 'iot.pointNameInBMS' introduced in SOM 1.39 caused configuration issues in Tier-2 databases.,"Configuration issues were resolved, and model sync was successful.",,,failed,Data Sync-Integration,integration issue,Partner Portal: Gateway Management | PSJIRA | Titan,1.0,True,False,2026-04-21,2026-05-11
BACS-41802,[TemplateFix - Low] HBS-BACS-EU-Energy Saving widget currency failing to sync with Backend,Fixed,Fixed,1 - Critical,BACS,Partner Apps: Unified App,KPIConfig; Onboarding_Blocker,,PSJIRA,Hammer,,,,,,UI-Frontend,integration issue,Partner Apps: Unified App | PSJIRA | Hammer,0.43,True,False,2026-04-21,2026-04-22
BACS-41800,BACS|CapitalLand|Techlink | Site publish failed to Skyspark,Fixed,Fixed,Medium,BACS,SkySpark,Drop3; HBS_L3_Support; Onboarding_Blocker,,PSJIRA,Spark,"Pumps assigned a 'contains' relationship under CHWS in onboarding portal, but not reflected in SkySpark.","Fix applied, and publish to SkySpark was successful.",,,publish failed; not reflecting; failed; 564; 573; Missing,Data Sync-Integration,integration issue,SkySpark | PSJIRA | Spark,1.0,True,False,2026-04-21,2026-04-30
BACS-41790,"IB filter ist not working anymore for some customers and shows ""unable to fetch filters"" error",Fixed,Fixed,2 - High,BACS,Partner Apps: Insight Builder,BACS_IB; Betadrop2b; EU_BETA_2026; May212026_GG; Onboarding_Blocker,,PSJIRA,Sharky,Configuration changes were applied across all DCs.,"Verified in staging, and issue was resolved.",,,rejected,Config-Environment,functional bug,Partner Apps: Insight Builder | PSJIRA | Sharky,1.0,True,False,2026-04-21,2026-05-23
BACS-41787,Data Fabric:- Apply learning is getting failed after running for approx 8 hrs,Fixed,Fixed,None,BACS,Partner Portal: Asset Modelling,DigiOpsReview; DigitalOpsReview,,PSJIRA,Data Fabric,Middleware API pod restarted multiple times due to large payloads from over 1.2L points.,"Vertically scaled middleware pod resolved the issue, and learning completed successfully.",,Discovered asset count was not updated due to failed apply learning.,failed; 531,UI-Frontend,functional bug,Partner Portal: Asset Modelling | PSJIRA | Data Fabric,1.0,True,False,2026-04-21,2026-04-22
BACS-41744,[Canada P3 - CR-CHUM] Publish Error Due to Subscription Issue,Fixed,Fixed,1 - Critical,BACS,Partner Portal: Asset Modelling,DigiOpsReview,,PSJIRA,Data Fabric UI-API,Mismatch in application name and label in the database for PDM.,"Database values were corrected, and app associations were cleaned up.",,,Publish Error; mismatch,Data Sync-Integration,integration issue,Partner Portal: Asset Modelling | PSJIRA | Data Fabric UI-API,1.0,True,False,2026-04-17,2026-04-22
BACS-41670,DF: Config enum does not allow to enter standard value for most common enum states and blocks it,Fixed,Fixed,1 - Critical,BACS,Partner Portal: Asset Modelling,BACS_DF; Betadrop2b; EU_BETA_2026; Onboarding_Blocker,,PSJIRA,Data Fabric UI-API,,"Introduced bulk enum configuration support with a new endpoint: POST /v1/site/enum-state-mapping/bulk, allowing the UI to update multiple enum groups in a single API call.",,The enhancement improves performance and reduces repeated requests.,missing,Data Sync-Integration,configuration issue,Partner Portal: Asset Modelling | PSJIRA | Data Fabric UI-API,0.82,True,False,2026-04-16,2026-05-20
BACS-41668,many Mappings in Guided workflow Componenttype - Outcome readiness are wrong or incomlete,Fixed,Fixed,2 - High,BACS,Partner Portal: Asset Modelling,BACS_DF; Betadrop2b; EU_BETA_2026; NoFF; Onboarding_Blocker,,PSJIRA,Data Fabric UI-API,,Reopening this defect as the help doc is not updated,,Mappings in the Guided Workflow Componenttype - Outcome readiness were verified and corrected.,,Config-Environment,configuration issue,Partner Portal: Asset Modelling | PSJIRA | Data Fabric UI-API,0.76,True,False,2026-04-16,2026-04-28
BACS-41664,Many untranslated texts in DF (German translation),Fixed,Fixed,2 - High,BACS,Partner Portal: Asset Modelling,Betadrop2b; EU_HYPERCARE_2026; NOFF; Onboarding_Blocker,,PSJIRA,Data Fabric UI-API,,Not deployed to production,,Texts in the UAE production environment were still appearing in English despite being marked as fixed.,,Config-Environment,environment issue,Partner Portal: Asset Modelling | PSJIRA | Data Fabric UI-API,0.76,True,False,2026-04-16,2026-04-20
BACS-41483,[TemplateFix - Low] Planned Maintenance Checks | Pricewaterhouse | Ville de Verviers |ZD 365485 ZD 365483,Fixed,Fixed,None,BACS,Partner Apps: Unified App,BACS_Drop1GA_Defect; DigitalOps; Digitized_Maintenance; HBS_Drop2; HBS_L3_Support,,PSJIRA,Hammer,,The visibility of offerings in the KPI dashboard was corrected to hide offerings for customers without a subscription.,,Offerings were incorrectly visible in the KPI dashboard for customers without subscriptions.,,UI-Frontend,functional bug,Partner Apps: Unified App | PSJIRA | Hammer,0.76,True,False,2026-04-14,2026-06-01
BACS-41476,HBS-BACS-Capitaland Singapore: Smart assist created duplicate assets,Fixed,Fixed,2 - High,BACS,Partner Portal: Data Contextualization,DigiOpsReview; HBS_L3_Support; NoFix; Onboarding_Blocker,,PSJIRA,Data Fabric,"The duplication was caused by the user creating multiple template assets for a similar pattern, leading to the creation of assets with the same name but different asset IDs.","After this change, the duplication issue was resolved.",,"Duplicate assets were created by Smart Assist, and the defect was reopened for verification.",duplicate,Data Cleanup,data issue,Partner Portal: Data Contextualization | PSJIRA | Data Fabric,1.0,True,False,2026-04-14,2026-04-24
BACS-41033,HBS-BACS-Multiple Gateways - Delete a Gateway,Fixed,Fixed,1 - Critical,BACS,Partner Apps: RBM Basic App,frontend,,PSJIRA,Yoda,Deleting a gateway was throwing a 500 error.,,,,500,UI-Frontend,functional bug,Partner Apps: RBM Basic App | PSJIRA | Yoda,0.82,True,False,2026-04-10,2026-04-27
BACS-40924,BACS: In-correct subscription status in patner portal - subscription menu,Triaged,,2 - High,BACS,Partner Apps: RBM Basic App,DigitalOps; DigitalOpsReview; HBS_L3_Support,,PSJIRA,,Logs supporting the subscription issue were unavailable due to a 15-day retention policy.,,,Duplicate entries were observed for the same subscription.,duplicate,Data Cleanup,data issue,Partner Apps: RBM Basic App | PSJIRA,0.74,False,False,2026-04-09,
BACS-40870,HBS-BACS-ALL CUSTOMERS | ALL CUSTOMER Gateways showing offline in EU and US region,Fixed,Fixed,2 - High,BACS,Partner Apps: RBM Basic App,DigitalOps; DigitalOpsReview; HBS_L3_Support,,PSJIRA,Sharky,"IoT client secret used in multiple middleware services had expired, and one service was not restarted after secret renewal.",The issue was resolved by restarting the affected service and adding it to the monitoring list.,,A missing service in the monitoring list caused the issue.,500; Missing,UI-Frontend,unknown,Partner Apps: RBM Basic App | PSJIRA | Sharky,1.0,True,False,2026-04-09,2026-04-09
BACS-40713,BACS | Asset Reliability | Unable to download the Asset Reliability System model,Fixed,Fixed,None,BACS,SkySpark,Onboarding_Blocker,,PSJIRA,Spark,,,,,500; Failed,Data Sync-Integration,functional bug,SkySpark | PSJIRA | Spark,0.49,True,False,2026-04-07,2026-04-17
BACS-40708,BACS: Org Provisioning Failing in EU Region,Fixed,Fixed,2 - High,BACS,Partner Portal: Org Site Management,BACS; DataFabric; DigitalOpsReview,,PSJIRA,Titan,Global changes by Microsoft to the Graph API introduced a propagation delay between group creation and retrieval operations.,"The defect was resolved, and group creation and retrieval now work as expected.",,Propagation delay in Graph API caused failures in group retrieval immediately after creation.,Failure; GenericException; duplicate,UI-Frontend,functional bug,Partner Portal: Org Site Management | PSJIRA | Titan,1.0,True,False,2026-04-07,2026-04-08
BACS-40621,BACS|UAE DC| Gateway Management Reports download failing,Fixed,Fixed,2 - High,BACS,Partner Portal: Gateway Management,Onboarding_Blocker,,PSJIRA,CS_Crossfunctional,Azure blob storage CORS configuration issue; the blob response was missing Access-Control-Allow-Origin for the required URL.,"Whitelisted the URL in the IoT storage account, resolving the issue.",,CORS misconfiguration caused the browser to block the fetch request.,missing,Config-Environment,configuration issue,Partner Portal: Gateway Management | PSJIRA | CS_Crossfunctional,1.0,True,False,2026-04-07,2026-04-18
BACS-40605,HBS-BACS-ADNOC SKEC(Migration): Asset relationship for chilled water plant is missing after migrating model in to DF,Fixed,Fixed,2 - High,BACS,Partner Portal: Data Contextualization,DigiOpsReview; HBS_L3_Support; NoFF,,PSJIRA,Data Fabric UI-API,"After analyzing, I found that the missing relationship is due to assets belonging to different sites.","Corrected the asset relationship after migration, and verified with a new migrated site.",Testing with a new customer was suggested as the cleanest approach.,Duplicate assets were displayed in the 'contains' relationship after migration.,missing,UI-Frontend,integration issue,Partner Portal: Data Contextualization | PSJIRA | Data Fabric UI-API,1.0,True,False,2026-04-06,2026-04-21
BACS-40600,ZD 320853 | Re: VAV assets shows NA Values on ZOOTR dashboard after every publish,Fixed,Fixed,Medium,BACS,,DigiOps; Digitized_Maintenance; jira_escalated,,PSJIRA,Data Fabric UI-API,"State mapping for the 4th enum was missing in DF, causing NA values to appear.",Assigned a value for the 4th row under the state mapping column and published the configuration.,,Incorrect state mapping in DF caused NA values in the ZOOTR dashboard.,,Data Sync-Integration,configuration issue,PSJIRA | Data Fabric UI-API,0.89,True,False,2025-10-01,2026-04-13
BACS-40563,ModelRegistry API calls giving 401 in Prod EU and US- CBsync/Eom provisioing,Fixed,Fixed,3 - Normal,BACS,Partner Portal: Asset Modelling,Apr012026_GG,,PSJIRA,Spark,,"Validated changes in staging and successfully created and edited customer, site, and user in the onboarding portal.",,,401; mismatch,Data Sync-Integration,integration issue,Partner Portal: Asset Modelling | PSJIRA | Spark,0.82,True,False,2026-04-06,2026-04-10
BACS-40560,RBM: Trends view shows non-existing points,Fixed,Fixed,Should Have,BACS,Partner Apps: RBM Basic App,Apr132026_GG; DigitalOpsReview,,PSJIRA,Go Green,,"Unwanted labels were unchecked in the trends view, resolving the issue.",,Non-existing points were selected by default in the trends view.,missing,UI-Frontend,access issue,Partner Apps: RBM Basic App | PSJIRA | Go Green,0.82,True,False,2026-01-05,2026-04-24
BACS-40464,JAL PUBLIC SCHOOL | Weather Station not Reading Data,Fixed,Fixed,3 - Normal,BACS,SkySpark,Digitized_Maintenance; HBS_L3_Support; NoFF; Onboarding_Blocker; SkySpark,,PSJIRA,Spark,Due to this mismatch — weather data in Ottawa timezone vs.,"Fix was moved to production, and the issue was resolved for both existing and new site scenarios.","Resolution : The timezone has been added in the EOM, and the weather station timezone was manually updated.",,not populating; not loading; failed; mismatch; 417,External Dependency,functional bug,SkySpark | PSJIRA | Spark,1.0,True,False,2026-04-03,2026-05-15
BACS-40431,HBS-BACS-UNE Armidale: There are 279 confirmed points showing in DF without any point role/asset assigned after migration,Fixed,Fixed,2 - High,BACS,Partner Portal: Asset Modelling,DigiOpsReview; DigitalOpsReview; HBS_L3_Support,,PSJIRA,Titan,279 confirmed points were showing in DF without any point role/asset assigned after migration.,The issue was fixed in production and verified in staging.,These points are manually added by AOC and expected to be deleted during model sync,The defect was resolved and verified in the production environment.,,Access-Authorization,access issue,Partner Portal: Asset Modelling | PSJIRA | Titan,0.94,True,False,2026-04-02,2026-04-28
BACS-40192,[TemplateFix - Pilot] BACS | Existing Migrated PDM | Cegep de St Jerome | Widgets not loading,Fixed,Fixed,3 - Normal,BACS,Partner Apps: KPI Dashboard,Onboarding_Blocker,,PSJIRA,Hammer,Widgets were not loading due to an issue with the existing migrated PDM.,The issue was fixed along with a newer version of the widget that includes support for other types of sensors.,,Sensor Health Details count was not matching during staging verification.,not loading,UI-Frontend,access issue,Partner Apps: KPI Dashboard | PSJIRA | Hammer,1.0,True,False,2026-04-01,2026-04-13
BACS-40186,BMS-BACS-Honeywell Italy BMS: DF is not processed the delta model sync event received file,Fixed,Fixed,3 - Normal,BACS,Partner Portal: Data Contextualization,Apr302026_GG; BMS_L3_Support; DigiOpsReview,,PSJIRA,Data Fabric UI-API,"Octopus variable was missing, causing the delta model sync event to fail.","Resolution description was updated, and the fix was verified in the staging environment.",,Delta model sync worked as expected after the fix.,failure; missing; 483,Data Sync-Integration,integration issue,Partner Portal: Data Contextualization | PSJIRA | Data Fabric UI-API,1.0,True,False,2026-04-01,2026-05-04
BACS-40104,HBS-BACS-Changi City Point(MIgration): App associated point count showing wrong in DF.,Fixed,Fixed,3 - Normal,BACS,Partner Portal: Data Contextualization,DigiOpsReview; HBS_L3_Support; NoFF,,PSJIRA,Data Fabric UI-API,App-associated point count was showing incorrectly in DF due to migration tool issues.,"The issue was fixed as part of the migration tool, and a script was provided for existing data.",,The defect was verified to be resolved with the latest migration tool.,498,Access-Authorization,access issue,Partner Portal: Data Contextualization | PSJIRA | Data Fabric UI-API,1.0,True,False,2026-04-01,2026-04-15
BACS-39928,HBS-BACS-Rialto: EBI Connect App failed to connect when command status json file is incomplete,Fixed,Fixed,3 - Normal,BACS,Connectivity: Connectivity Wizard,DigiOpsReview; HBS_L3_Support; HammerEBIConnectivityWork,,PSJIRA,Hammer,EBI Connect App failed to connect when the command status JSON file was incomplete.,"A fix was implemented in the Connectivity package, including a backup of the corrupt file.",Manually installed and tested the EBI Cloud Connector to ensure functionality.,Backup files were created with timestamps for corrupted files.,failed; JsonReaderException,Data Sync-Integration,functional bug,Connectivity: Connectivity Wizard | PSJIRA | Hammer,1.0,True,False,2026-03-31,2026-05-19
BACS-39477,Security Fixes - BDH & Coverity Issues in PLV,Fixed,Fixed,2 - High,BACS,Partner Apps: RBM Basic App,Apr012026_GG,,PSJIRA,Go Green,Security issues identified in BDH and Coverity.,The issue was resolved by applying security fixes.,,,,Config-Environment,unknown,Partner Apps: RBM Basic App | PSJIRA | Go Green,0.94,True,False,2026-03-31,2026-04-03
BACS-39340,347442: MUMBAI METRO ONE PRIVATE LIMITED: Discrepancy of gateway info in CUSTOMER and ASSET MODELLING page.,Fixed,Fixed,2 - High,BACS,Partner Portal: Org Site Management,DigitalOps; HBS_L3_Support,,PSJIRA,Titan,Discrepancy of gateway info in CUSTOMER and ASSET MODELLING pages.,The fix was implemented and verified in the production environment.,,Gateway details appeared correctly in the customer section after the fix.,missing,UI-Frontend,integration issue,Partner Portal: Org Site Management | PSJIRA | Titan,1.0,True,False,2026-03-31,2026-04-10
BACS-39280,HBS BACS Multiple Customer:TechLink: Cloud Link License Upgrade Issue,Triaged,,2 - High,BACS,Connectivity: Connectivity Wizard,Onboarding_Blocker; Tridium_BACS_Support,,PSJIRA,,Cloud Link License Upgrade issue persisted despite restarting the station.,,Restarting the station was attempted but did not resolve the issue.,The issue was specific to CapitaLand Singapore's site '80 Bendemeer'.,not available,UI-Frontend,integration issue,Connectivity: Connectivity Wizard | PSJIRA,0.74,False,False,2026-03-31,
BACS-39275,BMS-BACS-McDonalds: Points and Point role names for migrated sites under MCDonalds is not updated Properly,Fixed,Fixed,None,BACS,Partner Portal: Asset Modelling,BMS_Blocker; DigitalOpsReview; Onboarding_Blocker,,PSJIRA,CS_Crossfunctional,Points and point role names for migrated McDonald's sites were not updated properly.,Point roles were updated through a DF script.,,Reverse sync failures were unrelated to point role mismatches and did not impact system functionality.,not available; sync failure; mismatch; failure,Access-Authorization,access issue,Partner Portal: Asset Modelling | PSJIRA | CS_Crossfunctional,1.0,True,False,2026-03-30,2026-04-16
BACS-39130,"Product Symbol in Titan for API-Std, Core, Entrprise shows screenshot from API-Ingest",Fixed,Fixed,4 - Low,BACS,Partner Portal: Subscription,BACS_TITAN; BMS_Blocker; BMS_Enhancements; Betadrop2b; EU_BETA_2026; Jun112026_GG; Onboarding_Blocker,,PSJIRA,Spotters,Image correction was required due to a data issue.,"The data team corrected the image issue, and the fix was validated in the production environment.",,,,Config-Environment,integration issue,Partner Portal: Subscription | PSJIRA | Spotters,0.94,True,False,2026-03-27,2026-06-15
BACS-39122,[Regional]API screen for Dutch customer TKK goes black after a few milliseconds - even on differnt PC/networks etc..,Fixed,Fixed,3 - Normal,BACS,Feature: Find API,Apr162026_GG; BACS_API; BMS_Blocker; Betadrop2b; EU_BETA_2026; Onboarding_Blocker,,PSJIRA,Spotters,API screen for Dutch customer TKK went black after a few milliseconds.,,Further debugging sessions with the customer were suggested if the issue persisted.,The issue was specific to Dutch PCs and required customer confirmation for resolution.,Failed,Access-Authorization,functional bug,Feature: Find API | PSJIRA | Spotters,0.82,True,False,2026-03-27,2026-05-20
BACS-39119,Errors in alarm propagation between widgets,Fixed,Fixed,1 - Critical,BACS,Partner Apps: RBM Basic App,Apr022026_CEM; BACS_Connectivity; BMS_Blocker; Betadrop2b; EAD_EU; EU_HYPERCARE_2026; Onboarding_Blocker,,PSJIRA,Go Green,"Active alarm widgets lacked sufficient info details, causing user confusion.",Info details were added to the active alarm widgets.,,Points without history were not displayed in the equipment points list view for active alarms.,missing,UI-Frontend,configuration issue,Partner Apps: RBM Basic App | PSJIRA | Go Green,1.0,True,False,2026-03-27,2026-05-24
BACS-39107,Titan: Very Clamsy Ordering Flow of multiple Connected Solution SKUs due to Global search and nonfunction Quick Add,Fixed,Fixed,1 - Critical,BACS,Partner Portal: Subscription,BACS_TITAN; BMS_Blocker; Betadrop2b; EU_BETA_2026; Onboarding_Blocker,,PSJIRA,CS_Crossfunctional,Global search and non-functional Quick Add caused a clumsy ordering flow for multiple SKUs.,"The issue was fixed, and the resolution was confirmed based on user feedback.",,,,UI-Frontend,configuration issue,Partner Portal: Subscription | PSJIRA | CS_Crossfunctional,0.94,True,False,2026-03-27,2026-04-06
BACS-39007,HBS-BACS-Singapore Asia Square Tower 2(Migration): Skyspark publish is failed due to schedule points,Fixed,Fixed,3 - Normal,BACS,SkySpark,DigiOpsReview; DigitalOpsReview; HBS_L3_Support,,PSJIRA,Spark,Skyspark publish failed due to custom points being added in a nested grid format.,AOC was advised to add custom points in String or Text format instead of Nested Grid format.,,Skyspark does not support custom data types in Nested Grid format.,failed; JsonReaderException; 427; TraceException; failure; not available,Data Sync-Integration,functional bug,SkySpark | PSJIRA | Spark,1.0,True,False,2026-03-27,2026-06-16
BACS-38984,[Result of Manual disassociation of users by API] HBS-BACS- ALL USERS: HBS US SI is not visible in onboarding portal due to all users(543) from HBS US SI is removed,Fixed,Fixed,2 - High,BACS,Partner Apps: RBM Basic App,DigiOpsReview; HBS_L3_Support,,PSJIRA,CS_Crossfunctional,Manual disassociation of users failed due to the API method being set to POST instead of GET.,The API method was changed from POST to GET to resolve the issue.,,"The issue was resolved by changing the API method, preventing user disassociation through the API.",543; 500,Data Sync-Integration,integration issue,Partner Apps: RBM Basic App | PSJIRA | CS_Crossfunctional,1.0,True,False,2026-03-27,2026-05-08
BACS-38932,HBS-BACS-Migration Site: Full model summary file is having extra column in lake County Government site,Fixed,Fixed,2 - High,BACS,Partner Portal: Asset Modelling,DigiOpsReview; HBS_L3_Support; NoFF; Onboarding_Blocker,,PSJIRA,Data Fabric UI-API,Export was showing incorrect data due to extra columns in the full model summary file.,"Correct model summary file was attached, and the issue was resolved after modifying asset and point names.",,Adding a comma in asset and point names resolved the issue.,,Data Cleanup,data issue,Partner Portal: Asset Modelling | PSJIRA | Data Fabric UI-API,0.94,True,False,2026-03-27,2026-04-02
BACS-38778,Prod validation observartions-BBET,Fixed,Fixed,3 - Normal,BACS,SkySpark,,,PSJIRA,Spark,Site names were not displayed in the 'All Sites' view of the Comfort Dashboard.,"Fixes were validated in the staging environment, and the issue was resolved.",,All sites' comfort data is now visible in the 'All Sites' view.,not loading,UI-Frontend,environment issue,SkySpark | PSJIRA | Spark,1.0,True,False,2026-03-26,2026-04-06
BACS-38531,HBS-BACS-Multiple sites: All points and assets are not migrated from CB to RBM(DF) portal,Fixed,Fixed,2 - High,BACS,Partner Portal: Data Contextualization,DigiOpsReview; HBS_L3_Support,,PSJIRA,Titan,Old systemGuid in the CDT backend table prevented file uploads.,"Old systemGuid was updated, and the issue was resolved.",,Updating the systemGuid resolved the upload issue.,468; missing; failed,UI-Frontend,configuration issue,Partner Portal: Data Contextualization | PSJIRA | Titan,1.0,True,False,2026-03-24,2026-04-16
BACS-38526,EU Prod:- Email notification for Alarm is not working,Fixed,Fixed,None,BACS,Partner Apps: RBM Basic App,Apr072026_GG; DigitalOpsReview,,PSJIRA,Go Green,No notification messages were received or processed for 30 days due to configuration issues.,"Configurations were updated, and the service was redeployed, resolving the issue.",,No code changes were required; configuration updates resolved the problem.,,Config-Environment,configuration issue,Partner Apps: RBM Basic App | PSJIRA | Go Green,0.94,True,False,2026-03-24,2026-04-07
BACS-38503,[TemplateFix - Pilot] BACS | EU Sites | Service Case Count missing on KPI dashboard,Fixed,Fixed,2 - High,BACS,Partner Apps: KPI Dashboard,,,PSJIRA,Hammer,,Can you please check with the customer who added these for them?,,"The widget causing the issue was not officially released, leading to problems.",missing,UI-Frontend,integration issue,Partner Apps: KPI Dashboard | PSJIRA | Hammer,0.82,True,False,2026-03-24,2026-03-31
BACS-38432,Kafka Publish Delay Observed for IndoorAirQuality Metric (value+ find api),Fixed,Fixed,None,BACS,Feature: Find API,,,PSJIRA,Optimizers,The defect was related to Kafka publish delays for IndoorAirQuality metrics.,The defect was analyzed and inputs were gathered; a functional ticket was created for further resolution.,,No active work was happening on the FindAPI side; the issue was handed over to the Optimizers team.,,Data Sync-Integration,integration issue,Feature: Find API | PSJIRA | Optimizers,0.94,True,False,2026-03-20,2026-04-22
BACS-38409,"HBS-BACS-ALL DC: EOM publish is failing in EU,UAE and US DC",Fixed,Fixed,1 - Critical,BACS,Partner Portal: Data Contextualization,DigiOpsReview; HBS_L3_Support; Onboarding_Blocker,,PSJIRA,Data Fabric UI-API,The issue was linked to a dependency on SOM 1.39 for parallel implementations.,The issue was resolved after updating the [token] version.,,The dependency on SOM 1.39 was critical for resolving the issue.,,Data Sync-Integration,integration issue,Partner Portal: Data Contextualization | PSJIRA | Data Fabric UI-API,0.94,True,False,2026-03-19,2026-03-25
BACS-38384,BACS Unassociating Apps in Asset Modeling and Filtering Issues,Fixed,Fixed,2 - High,BACS,Partner Portal: Asset Modelling,DigiOpsReview; NOFF; Onboarding_Blocker,,PSJIRA,Data Fabric UI-API,Unassigned points with PDM apps caused issues in Asset Modeling and Filtering.,The issue was resolved by running a script for unassigned points with PDM apps.,,Running a script enabled the publish for unassigned points with PDM apps.,526,Data Sync-Integration,integration issue,Partner Portal: Asset Modelling | PSJIRA | Data Fabric UI-API,1.0,True,False,2026-03-18,2026-04-06
BACS-38368,Four Seasons - Jumeriah/Sharm El Sheik: Energy and ALC cost is inconsistent between different fetching timelines,Fixed,Fixed,2 - High,BACS,SkySpark,META,,PSJIRA,AOC,Energy and ALC cost inconsistencies were observed between different fetching timelines.,"Recalculation was performed, and the issue was validated and resolved.",,Recalculation resolved the inconsistencies in energy and ALC cost data.,missing; failure; Failed; Mismatch,Logic Correction,functional bug,SkySpark | PSJIRA | AOC,1.0,True,False,2026-03-18,2026-04-09
BACS-38284,BACS: H&M Customer | Reverse Sync failing for the IT0333 Market Da Vinci site,Fixed,Fixed,2 - High,BACS,Partner Apps: RBM Basic App,CONFIGURATION; DigitalOps; DigitalOpsReview; HBS_L3_Support; Onboarding_Blocker,,PSJIRA,Titan,Label and gateway type name were incorrect in the EOM.,"The label and gateway type name were updated, resolving the issue.",We need to implement a workaround to set the gateway name and update the gateway type in EOM.,,,Data Sync-Integration,integration issue,Partner Apps: RBM Basic App | PSJIRA | Titan,0.94,True,False,2026-03-17,2026-03-31
BACS-38282,HBS-BACS-UAE DC ALL CUSTOMERS: Cloud Icon in Unified app is showing as disconnected for all customers,Fixed,Fixed,2 - High,BACS,Partner Apps: KPI Dashboard,DigiOpsReview; HBS_L3_Support,,PSJIRA,Sharky,The issue was caused by a secret configuration error.,"The secret was corrected, resolving the issue.",,Correcting the secret resolved the cloud icon disconnection issue.,AdalServiceException; 401,Config-Environment,configuration issue,Partner Apps: KPI Dashboard | PSJIRA | Sharky,1.0,True,False,2026-03-17,2026-03-24
BACS-38279,PDM deployment failed - dashboards completely empty even if modeled properly (Publish failed to skyspark),Fixed,Fixed,2 - High,BACS,Partner Portal: Asset Modelling,BACS_PDM; Betadrop2b; DigiOpsReview; DigitalOpsReview; EU_BETA_2026; HBS_L3_Support; Onboarding_Blocker,,PSJIRA,Spark,Skyspark setup failed due to an 'eval' error response.,A temporary fix was applied by adding a null check in geostate.,A null check was added in geostate as a temporary fix.,,deployment failed; Publish failed; failed,Deployment/Version,functional bug,Partner Portal: Asset Modelling | PSJIRA | Spark,1.0,True,False,2026-03-17,2026-03-24
BACS-37376,RBM: NHS | Changes to units in DF not reflecting in RBM and EOM,Fixed,Fixed,2 - High,BACS,Partner Apps: RBM Basic App,BMS_Blocker; DigitalOpsReview; NOFF; Onboarding_Blocker; RepeatTriage,,PSJIRA,Data Fabric UI-API,Changes to units in DF were not reflected in RBM and EOM due to a FindAPI issue.,,,Unit information was missing in the FindAPI after the last DF publish.,not reflecting,Data Sync-Integration,integration issue,Partner Apps: RBM Basic App | PSJIRA | Data Fabric UI-API,0.82,True,False,2026-03-13,2026-04-15
